name, name_modified, nr_samples, fs, channel_ids, sequence, class, avg. quality, segment id
2_65_0.mat,2_0_0065,240000,400,16,5,0,99,11
2_66_0.mat,2_0_0066,240000,400,16,6,0,90,11
2_67_0.mat,2_0_0067,240000,400,16,1,0,97,12
2_68_0.mat,2_0_0068,240000,400,16,2,0,100,12
2_69_0.mat,2_0_0069,240000,400,16,3,0,98,12
2_70_0.mat,2_0_0070,240000,400,16,4,0,96,12
2_71_0.mat,2_0_0071,240000,400,16,5,0,99,12
2_72_0.mat,2_0_0072,240000,400,16,6,0,98,12
2_73_0.mat,2_0_0073,240000,400,16,1,0,98,13
2_74_0.mat,2_0_0074,240000,400,16,2,0,96,13
2_75_0.mat,2_0_0075,240000,400,16,3,0,100,13
2_76_0.mat,2_0_0076,240000,400,16,4,0,98,13
2_77_0.mat,2_0_0077,240000,400,16,5,0,100,13
2_78_0.mat,2_0_0078,240000,400,16,6,0,99,13
2_79_0.mat,2_0_0079,240000,400,16,1,0,97,14
2_80_0.mat,2_0_0080,240000,400,16,2,0,99,14
2_81_0.mat,2_0_0081,240000,400,16,3,0,99,14
2_82_0.mat,2_0_0082,240000,400,16,4,0,98,14
2_83_0.mat,2_0_0083,240000,400,16,5,0,100,14
2_84_0.mat,2_0_0084,240000,400,16,6,0,99,14
2_85_0.mat,2_0_0085,240000,400,16,1,0,96,15
2_86_0.mat,2_0_0086,240000,400,16,2,0,100,15
2_87_0.mat,2_0_0087,240000,400,16,3,0,100,15
2_88_0.mat,2_0_0088,240000,400,16,4,0,97,15
2_89_0.mat,2_0_0089,240000,400,16,5,0,78,15
2_90_0.mat,2_0_0090,240000,400,16,6,0,99,15
2_91_0.mat,2_0_0091,240000,400,16,1,0,100,16
2_92_0.mat,2_0_0092,240000,400,16,2,0,92,16
2_93_0.mat,2_0_0093,240000,400,16,3,0,100,16
2_94_0.mat,2_0_0094,240000,400,16,4,0,100,16
2_95_0.mat,2_0_0095,240000,400,16,5,0,100,16
2_96_0.mat,2_0_0096,240000,400,16,6,0,100,16
2_97_0.mat,2_0_0097,240000,400,16,1,0,0,17
2_98_0.mat,2_0_0098,240000,400,16,2,0,40,17
2_99_0.mat,2_0_0099,240000,400,16,3,0,100,17
2_100_0.mat,2_0_0100,240000,400,16,4,0,100,17
2_101_0.mat,2_0_0101,240000,400,16,5,0,100,17
2_102_0.mat,2_0_0102,240000,400,16,6,0,100,17
2_103_0.mat,2_0_0103,240000,400,16,1,0,0,18
2_104_0.mat,2_0_0104,240000,400,16,2,0,0,18
2_105_0.mat,2_0_0105,240000,400,16,3,0,14,18
2_106_0.mat,2_0_0106,240000,400,16,4,0,100,18
2_107_0.mat,2_0_0107,240000,400,16,5,0,96,18
2_108_0.mat,2_0_0108,240000,400,16,6,0,97,18
2_109_0.mat,2_0_0109,240000,400,16,1,0,99,19
2_110_0.mat,2_0_0110,240000,400,16,2,0,100,19
2_111_0.mat,2_0_0111,240000,400,16,3,0,100,19
2_112_0.mat,2_0_0112,240000,400,16,4,0,100,19
2_113_0.mat,2_0_0113,240000,400,16,5,0,97,19
2_114_0.mat,2_0_0114,240000,400,16,6,0,80,19
2_115_0.mat,2_0_0115,240000,400,16,1,0,96,20
2_116_0.mat,2_0_0116,240000,400,16,2,0,97,20
2_117_0.mat,2_0_0117,240000,400,16,3,0,100,20
2_118_0.mat,2_0_0118,240000,400,16,4,0,95,20
2_119_0.mat,2_0_0119,240000,400,16,5,0,98,20
2_120_0.mat,2_0_0120,240000,400,16,6,0,98,20
2_121_0.mat,2_0_0121,240000,400,16,1,0,68,21
2_122_0.mat,2_0_0122,240000,400,16,2,0,59,21
2_123_0.mat,2_0_0123,240000,400,16,3,0,27,21
2_124_0.mat,2_0_0124,240000,400,16,4,0,92,21
2_125_0.mat,2_0_0125,240000,400,16,5,0,61,21
2_126_0.mat,2_0_0126,240000,400,16,6,0,62,21
2_127_0.mat,2_0_0127,240000,400,16,1,0,80,22
2_128_0.mat,2_0_0128,240000,400,16,2,0,100,22
2_129_0.mat,2_0_0129,240000,400,16,3,0,99,22
2_130_0.mat,2_0_0130,240000,400,16,4,0,68,22
2_131_0.mat,2_0_0131,240000,400,16,5,0,85,22
2_132_0.mat,2_0_0132,240000,400,16,6,0,61,22
2_133_0.mat,2_0_0133,240000,400,16,1,0,95,23
2_134_0.mat,2_0_0134,240000,400,16,2,0,100,23
2_135_0.mat,2_0_0135,240000,400,16,3,0,96,23
2_136_0.mat,2_0_0136,240000,400,16,4,0,69,23
2_137_0.mat,2_0_0137,240000,400,16,5,0,92,23
2_138_0.mat,2_0_0138,240000,400,16,6,0,99,23
2_139_0.mat,2_0_0139,240000,400,16,1,0,95,24
2_140_0.mat,2_0_0140,240000,400,16,2,0,98,24
2_141_0.mat,2_0_0141,240000,400,16,3,0,99,24
2_142_0.mat,2_0_0142,240000,400,16,4,0,97,24
2_143_0.mat,2_0_0143,240000,400,16,5,0,97,24
2_144_0.mat,2_0_0144,240000,400,16,6,0,97,24
2_145_0.mat,2_0_0145,240000,400,16,1,0,92,25
2_146_0.mat,2_0_0146,240000,400,16,2,0,100,25
2_147_0.mat,2_0_0147,240000,400,16,3,0,37,25
2_148_0.mat,2_0_0148,240000,400,16,4,0,14,25
2_149_0.mat,2_0_0149,240000,400,16,5,0,35,25
2_150_0.mat,2_0_0150,240000,400,16,6,0,100,25
2_151_0.mat,2_0_0151,240000,400,16,1,0,95,26
2_152_0.mat,2_0_0152,240000,400,16,2,0,100,26
2_153_0.mat,2_0_0153,240000,400,16,3,0,100,26
2_154_0.mat,2_0_0154,240000,400,16,4,0,92,26
2_155_0.mat,2_0_0155,240000,400,16,5,0,73,26
2_156_0.mat,2_0_0156,240000,400,16,6,0,73,26
2_157_0.mat,2_0_0157,240000,400,16,1,0,49,27
2_158_0.mat,2_0_0158,240000,400,16,2,0,43,27
2_159_0.mat,2_0_0159,240000,400,16,3,0,100,27
2_160_0.mat,2_0_0160,240000,400,16,4,0,92,27
2_161_0.mat,2_0_0161,240000,400,16,5,0,100,27
2_162_0.mat,2_0_0162,240000,400,16,6,0,86,27
2_163_0.mat,2_0_0163,240000,400,16,1,0,97,28
2_164_0.mat,2_0_0164,240000,400,16,2,0,100,28
2_165_0.mat,2_0_0165,240000,400,16,3,0,65,28
2_166_0.mat,2_0_0166,240000,400,16,4,0,18,28
2_167_0.mat,2_0_0167,240000,400,16,5,0,93,28
2_168_0.mat,2_0_0168,240000,400,16,6,0,100,28
2_169_0.mat,2_0_0169,240000,400,16,1,0,99,29
2_170_0.mat,2_0_0170,240000,400,16,2,0,86,29
2_171_0.mat,2_0_0171,240000,400,16,3,0,93,29
2_172_0.mat,2_0_0172,240000,400,16,4,0,100,29
2_173_0.mat,2_0_0173,240000,400,16,5,0,98,29
2_174_0.mat,2_0_0174,240000,400,16,6,0,98,29
2_175_0.mat,2_0_0175,240000,400,16,1,0,99,30
2_176_0.mat,2_0_0176,240000,400,16,2,0,99,30
2_177_0.mat,2_0_0177,240000,400,16,3,0,100,30
2_178_0.mat,2_0_0178,240000,400,16,4,0,100,30
2_179_0.mat,2_0_0179,240000,400,16,5,0,99,30
2_180_0.mat,2_0_0180,240000,400,16,6,0,85,30
2_181_0.mat,2_0_0181,240000,400,16,1,0,64,31
2_182_0.mat,2_0_0182,240000,400,16,2,0,62,31
2_183_0.mat,2_0_0183,240000,400,16,3,0,100,31
2_184_0.mat,2_0_0184,240000,400,16,4,0,100,31
2_185_0.mat,2_0_0185,240000,400,16,5,0,100,31
2_186_0.mat,2_0_0186,240000,400,16,6,0,99,31
2_187_0.mat,2_0_0187,240000,400,16,1,0,96,32
2_188_0.mat,2_0_0188,240000,400,16,2,0,99,32
2_189_0.mat,2_0_0189,240000,400,16,3,0,99,32
2_190_0.mat,2_0_0190,240000,400,16,4,0,97,32
2_191_0.mat,2_0_0191,240000,400,16,5,0,98,32
2_192_0.mat,2_0_0192,240000,400,16,6,0,99,32
2_193_0.mat,2_0_0193,240000,400,16,1,0,99,33
2_194_0.mat,2_0_0194,240000,400,16,2,0,99,33
2_195_0.mat,2_0_0195,240000,400,16,3,0,98,33
2_196_0.mat,2_0_0196,240000,400,16,4,0,100,33
2_197_0.mat,2_0_0197,240000,400,16,5,0,100,33
2_198_0.mat,2_0_0198,240000,400,16,6,0,99,33
2_199_0.mat,2_0_0199,240000,400,16,1,0,98,34
2_200_0.mat,2_0_0200,240000,400,16,2,0,86,34
2_201_0.mat,2_0_0201,240000,400,16,3,0,99,34
2_202_0.mat,2_0_0202,240000,400,16,4,0,91,34
2_203_0.mat,2_0_0203,240000,400,16,5,0,97,34
2_204_0.mat,2_0_0204,240000,400,16,6,0,97,34
2_205_0.mat,2_0_0205,240000,400,16,1,0,100,35
2_206_0.mat,2_0_0206,240000,400,16,2,0,87,35
2_207_0.mat,2_0_0207,240000,400,16,3,0,100,35
2_208_0.mat,2_0_0208,240000,400,16,4,0,100,35
2_209_0.mat,2_0_0209,240000,400,16,5,0,99,35
2_210_0.mat,2_0_0210,240000,400,16,6,0,90,35
2_211_0.mat,2_0_0211,240000,400,16,1,0,84,36
2_212_0.mat,2_0_0212,240000,400,16,2,0,80,36
2_213_0.mat,2_0_0213,240000,400,16,3,0,100,36
2_214_0.mat,2_0_0214,240000,400,16,4,0,100,36
2_215_0.mat,2_0_0215,240000,400,16,5,0,100,36
2_216_0.mat,2_0_0216,240000,400,16,6,0,100,36
2_217_0.mat,2_0_0217,240000,400,16,1,0,100,37
2_218_0.mat,2_0_0218,240000,400,16,2,0,98,37
2_219_0.mat,2_0_0219,240000,400,16,3,0,94,37
2_220_0.mat,2_0_0220,240000,400,16,4,0,100,37
2_221_0.mat,2_0_0221,240000,400,16,5,0,100,37
2_222_0.mat,2_0_0222,240000,400,16,6,0,4,37
2_223_0.mat,2_0_0223,240000,400,16,1,0,94,38
2_224_0.mat,2_0_0224,240000,400,16,2,0,100,38
2_225_0.mat,2_0_0225,240000,400,16,3,0,99,38
2_226_0.mat,2_0_0226,240000,400,16,4,0,78,38
2_227_0.mat,2_0_0227,240000,400,16,5,0,93,38
2_228_0.mat,2_0_0228,240000,400,16,6,0,98,38
2_229_0.mat,2_0_0229,240000,400,16,1,0,68,39
2_230_0.mat,2_0_0230,240000,400,16,2,0,100,39
2_231_0.mat,2_0_0231,240000,400,16,3,0,99,39
2_232_0.mat,2_0_0232,240000,400,16,4,0,100,39
2_233_0.mat,2_0_0233,240000,400,16,5,0,95,39
2_234_0.mat,2_0_0234,240000,400,16,6,0,86,39
2_235_0.mat,2_0_0235,240000,400,16,1,0,100,40
2_236_0.mat,2_0_0236,240000,400,16,2,0,100,40
2_237_0.mat,2_0_0237,240000,400,16,3,0,100,40
2_238_0.mat,2_0_0238,240000,400,16,4,0,100,40
2_239_0.mat,2_0_0239,240000,400,16,5,0,100,40
2_240_0.mat,2_0_0240,240000,400,16,6,0,100,40
2_241_0.mat,2_0_0241,240000,400,16,1,0,83,41
2_242_0.mat,2_0_0242,240000,400,16,2,0,100,41
2_243_0.mat,2_0_0243,240000,400,16,3,0,100,41
2_244_0.mat,2_0_0244,240000,400,16,4,0,100,41
2_245_0.mat,2_0_0245,240000,400,16,5,0,100,41
2_246_0.mat,2_0_0246,240000,400,16,6,0,99,41
2_247_0.mat,2_0_0247,240000,400,16,1,0,12,42
2_248_0.mat,2_0_0248,240000,400,16,2,0,0,42
2_249_0.mat,2_0_0249,240000,400,16,3,0,71,42
2_250_0.mat,2_0_0250,240000,400,16,4,0,100,42
2_251_0.mat,2_0_0251,240000,400,16,5,0,97,42
2_252_0.mat,2_0_0252,240000,400,16,6,0,100,42
2_253_0.mat,2_0_0253,240000,400,16,1,0,1,43
2_254_0.mat,2_0_0254,240000,400,16,2,0,18,43
2_255_0.mat,2_0_0255,240000,400,16,3,0,44,43
2_256_0.mat,2_0_0256,240000,400,16,4,0,69,43
2_257_0.mat,2_0_0257,240000,400,16,5,0,99,43
2_258_0.mat,2_0_0258,240000,400,16,6,0,98,43
2_259_0.mat,2_0_0259,240000,400,16,1,0,100,44
2_260_0.mat,2_0_0260,240000,400,16,2,0,100,44
2_261_0.mat,2_0_0261,240000,400,16,3,0,100,44
2_262_0.mat,2_0_0262,240000,400,16,4,0,95,44
2_263_0.mat,2_0_0263,240000,400,16,5,0,100,44
2_264_0.mat,2_0_0264,240000,400,16,6,0,99,44
2_265_0.mat,2_0_0265,240000,400,16,1,0,99,45
2_266_0.mat,2_0_0266,240000,400,16,2,0,96,45
2_267_0.mat,2_0_0267,240000,400,16,3,0,96,45
2_268_0.mat,2_0_0268,240000,400,16,4,0,100,45
2_269_0.mat,2_0_0269,240000,400,16,5,0,100,45
2_270_0.mat,2_0_0270,240000,400,16,6,0,81,45
2_271_0.mat,2_0_0271,240000,400,16,1,0,83,46
2_272_0.mat,2_0_0272,240000,400,16,2,0,92,46
2_273_0.mat,2_0_0273,240000,400,16,3,0,93,46
2_274_0.mat,2_0_0274,240000,400,16,4,0,77,46
2_275_0.mat,2_0_0275,240000,400,16,5,0,86,46
2_276_0.mat,2_0_0276,240000,400,16,6,0,97,46
2_277_0.mat,2_0_0277,240000,400,16,1,0,91,47
2_278_0.mat,2_0_0278,240000,400,16,2,0,89,47
2_279_0.mat,2_0_0279,240000,400,16,3,0,96,47
2_280_0.mat,2_0_0280,240000,400,16,4,0,100,47
2_281_0.mat,2_0_0281,240000,400,16,5,0,100,47
2_282_0.mat,2_0_0282,240000,400,16,6,0,95,47
2_283_0.mat,2_0_0283,240000,400,16,1,0,100,48
2_284_0.mat,2_0_0284,240000,400,16,2,0,100,48
2_285_0.mat,2_0_0285,240000,400,16,3,0,100,48
2_286_0.mat,2_0_0286,240000,400,16,4,0,100,48
2_287_0.mat,2_0_0287,240000,400,16,5,0,100,48
2_288_0.mat,2_0_0288,240000,400,16,6,0,100,48
2_289_0.mat,2_0_0289,240000,400,16,1,0,100,49
2_290_0.mat,2_0_0290,240000,400,16,2,0,100,49
2_291_0.mat,2_0_0291,240000,400,16,3,0,100,49
2_292_0.mat,2_0_0292,240000,400,16,4,0,100,49
2_293_0.mat,2_0_0293,240000,400,16,5,0,100,49
2_294_0.mat,2_0_0294,240000,400,16,6,0,100,49
2_295_0.mat,2_0_0295,240000,400,16,1,0,99,50
2_296_0.mat,2_0_0296,240000,400,16,2,0,100,50
2_297_0.mat,2_0_0297,240000,400,16,3,0,100,50
2_298_0.mat,2_0_0298,240000,400,16,4,0,99,50
2_299_0.mat,2_0_0299,240000,400,16,5,0,100,50
2_300_0.mat,2_0_0300,240000,400,16,6,0,100,50
2_301_0.mat,2_0_0301,240000,400,16,1,0,100,51
2_302_0.mat,2_0_0302,240000,400,16,2,0,100,51
2_303_0.mat,2_0_0303,240000,400,16,3,0,91,51
2_304_0.mat,2_0_0304,240000,400,16,4,0,33,51
2_305_0.mat,2_0_0305,240000,400,16,5,0,100,51
2_306_0.mat,2_0_0306,240000,400,16,6,0,100,51
2_307_0.mat,2_0_0307,240000,400,16,1,0,96,52
2_308_0.mat,2_0_0308,240000,400,16,2,0,100,52
2_309_0.mat,2_0_0309,240000,400,16,3,0,52,52
2_310_0.mat,2_0_0310,240000,400,16,4,0,46,52
2_311_0.mat,2_0_0311,240000,400,16,5,0,99,52
2_312_0.mat,2_0_0312,240000,400,16,6,0,99,52
2_313_0.mat,2_0_0313,240000,400,16,1,0,85,53
2_314_0.mat,2_0_0314,240000,400,16,2,0,98,53
2_315_0.mat,2_0_0315,240000,400,16,3,0,99,53
2_316_0.mat,2_0_0316,240000,400,16,4,0,99,53
2_317_0.mat,2_0_0317,240000,400,16,5,0,70,53
2_318_0.mat,2_0_0318,240000,400,16,6,0,97,53
2_319_0.mat,2_0_0319,240000,400,16,1,0,100,54
2_320_0.mat,2_0_0320,240000,400,16,2,0,100,54
2_321_0.mat,2_0_0321,240000,400,16,3,0,100,54
2_322_0.mat,2_0_0322,240000,400,16,4,0,98,54
2_323_0.mat,2_0_0323,240000,400,16,5,0,98,54
2_324_0.mat,2_0_0324,240000,400,16,6,0,100,54
2_325_0.mat,2_0_0325,240000,400,16,1,0,100,55
2_326_0.mat,2_0_0326,240000,400,16,2,0,100,55
2_327_0.mat,2_0_0327,240000,400,16,3,0,99,55
2_328_0.mat,2_0_0328,240000,400,16,4,0,98,55
2_329_0.mat,2_0_0329,240000,400,16,5,0,97,55
2_330_0.mat,2_0_0330,240000,400,16,6,0,99,55
2_331_0.mat,2_0_0331,240000,400,16,1,0,100,56
2_332_0.mat,2_0_0332,240000,400,16,2,0,100,56
2_333_0.mat,2_0_0333,240000,400,16,3,0,100,56
2_334_0.mat,2_0_0334,240000,400,16,4,0,100,56
2_335_0.mat,2_0_0335,240000,400,16,5,0,100,56
2_336_0.mat,2_0_0336,240000,400,16,6,0,100,56
2_337_0.mat,2_0_0337,240000,400,16,1,0,100,57
2_338_0.mat,2_0_0338,240000,400,16,2,0,100,57
2_339_0.mat,2_0_0339,240000,400,16,3,0,100,57
2_340_0.mat,2_0_0340,240000,400,16,4,0,100,57
2_341_0.mat,2_0_0341,240000,400,16,5,0,100,57
2_342_0.mat,2_0_0342,240000,400,16,6,0,100,57
2_343_0.mat,2_0_0343,240000,400,16,1,0,96,58
2_344_0.mat,2_0_0344,240000,400,16,2,0,96,58
2_345_0.mat,2_0_0345,240000,400,16,3,0,99,58
2_346_0.mat,2_0_0346,240000,400,16,4,0,98,58
2_347_0.mat,2_0_0347,240000,400,16,5,0,100,58
2_348_0.mat,2_0_0348,240000,400,16,6,0,100,58
2_349_0.mat,2_0_0349,240000,400,16,1,0,99,59
2_350_0.mat,2_0_0350,240000,400,16,2,0,79,59
2_351_0.mat,2_0_0351,240000,400,16,3,0,79,59
2_352_0.mat,2_0_0352,240000,400,16,4,0,94,59
2_353_0.mat,2_0_0353,240000,400,16,5,0,98,59
2_354_0.mat,2_0_0354,240000,400,16,6,0,52,59
2_355_0.mat,2_0_0355,240000,400,16,1,0,81,60
2_356_0.mat,2_0_0356,240000,400,16,2,0,100,60
2_357_0.mat,2_0_0357,240000,400,16,3,0,100,60
2_358_0.mat,2_0_0358,240000,400,16,4,0,100,60
2_359_0.mat,2_0_0359,240000,400,16,5,0,100,60
2_360_0.mat,2_0_0360,240000,400,16,6,0,86,60
2_361_0.mat,2_0_0361,240000,400,16,1,0,99,61
2_362_0.mat,2_0_0362,240000,400,16,2,0,95,61
2_363_0.mat,2_0_0363,240000,400,16,3,0,99,61
2_364_0.mat,2_0_0364,240000,400,16,4,0,88,61
2_365_0.mat,2_0_0365,240000,400,16,5,0,81,61
2_366_0.mat,2_0_0366,240000,400,16,6,0,94,61
2_367_0.mat,2_0_0367,240000,400,16,1,0,92,62
2_368_0.mat,2_0_0368,240000,400,16,2,0,99,62
2_369_0.mat,2_0_0369,240000,400,16,3,0,99,62
2_370_0.mat,2_0_0370,240000,400,16,4,0,100,62
2_371_0.mat,2_0_0371,240000,400,16,5,0,100,62
2_372_0.mat,2_0_0372,240000,400,16,6,0,100,62
2_373_0.mat,2_0_0373,240000,400,16,1,0,100,63
2_374_0.mat,2_0_0374,240000,400,16,2,0,100,63
2_375_0.mat,2_0_0375,240000,400,16,3,0,100,63
2_376_0.mat,2_0_0376,240000,400,16,4,0,100,63
2_377_0.mat,2_0_0377,240000,400,16,5,0,100,63
2_378_0.mat,2_0_0378,240000,400,16,6,0,100,63
2_379_0.mat,2_0_0379,240000,400,16,1,0,99,64
2_380_0.mat,2_0_0380,240000,400,16,2,0,94,64
2_381_0.mat,2_0_0381,240000,400,16,3,0,99,64
2_382_0.mat,2_0_0382,240000,400,16,4,0,96,64
2_383_0.mat,2_0_0383,240000,400,16,5,0,92,64
2_384_0.mat,2_0_0384,240000,400,16,6,0,100,64
2_385_0.mat,2_0_0385,240000,400,16,1,0,99,65
2_386_0.mat,2_0_0386,240000,400,16,2,0,100,65
2_387_0.mat,2_0_0387,240000,400,16,3,0,76,65
2_388_0.mat,2_0_0388,240000,400,16,4,0,26,65
2_389_0.mat,2_0_0389,240000,400,16,5,0,41,65
2_390_0.mat,2_0_0390,240000,400,16,6,0,63,65
2_391_0.mat,2_0_0391,240000,400,16,1,0,100,66
2_392_0.mat,2_0_0392,240000,400,16,2,0,100,66
2_393_0.mat,2_0_0393,240000,400,16,3,0,100,66
2_394_0.mat,2_0_0394,240000,400,16,4,0,99,66
2_395_0.mat,2_0_0395,240000,400,16,5,0,100,66
2_396_0.mat,2_0_0396,240000,400,16,6,0,100,66
2_397_0.mat,2_0_0397,240000,400,16,1,0,99,67
2_398_0.mat,2_0_0398,240000,400,16,2,0,99,67
2_399_0.mat,2_0_0399,240000,400,16,3,0,100,67
2_400_0.mat,2_0_0400,240000,400,16,4,0,99,67
2_401_0.mat,2_0_0401,240000,400,16,5,0,91,67
2_402_0.mat,2_0_0402,240000,400,16,6,0,99,67
2_403_0.mat,2_0_0403,240000,400,16,1,0,100,68
2_404_0.mat,2_0_0404,240000,400,16,2,0,100,68
2_405_0.mat,2_0_0405,240000,400,16,3,0,100,68
2_406_0.mat,2_0_0406,240000,400,16,4,0,99,68
2_407_0.mat,2_0_0407,240000,400,16,5,0,99,68
2_408_0.mat,2_0_0408,240000,400,16,6,0,98,68
2_409_0.mat,2_0_0409,240000,400,16,1,0,100,69
2_410_0.mat,2_0_0410,240000,400,16,2,0,100,69
2_411_0.mat,2_0_0411,240000,400,16,3,0,100,69
2_412_0.mat,2_0_0412,240000,400,16,4,0,100,69
2_413_0.mat,2_0_0413,240000,400,16,5,0,100,69
2_414_0.mat,2_0_0414,240000,400,16,6,0,100,69
2_415_0.mat,2_0_0415,240000,400,16,1,0,29,70
2_416_0.mat,2_0_0416,240000,400,16,2,0,100,70
2_417_0.mat,2_0_0417,240000,400,16,3,0,100,70
2_418_0.mat,2_0_0418,240000,400,16,4,0,66,70
2_419_0.mat,2_0_0419,240000,400,16,5,0,0,70
2_420_0.mat,2_0_0420,240000,400,16,6,0,96,70
2_421_0.mat,2_0_0421,240000,400,16,1,0,100,71
2_422_0.mat,2_0_0422,240000,400,16,2,0,100,71
2_423_0.mat,2_0_0423,240000,400,16,3,0,100,71
2_424_0.mat,2_0_0424,240000,400,16,4,0,100,71
2_425_0.mat,2_0_0425,240000,400,16,5,0,100,71
2_426_0.mat,2_0_0426,240000,400,16,6,0,98,71
2_427_0.mat,2_0_0427,240000,400,16,1,0,21,72
2_428_0.mat,2_0_0428,240000,400,16,2,0,98,72
2_429_0.mat,2_0_0429,240000,400,16,3,0,100,72
2_430_0.mat,2_0_0430,240000,400,16,4,0,100,72
2_431_0.mat,2_0_0431,240000,400,16,5,0,100,72
2_432_0.mat,2_0_0432,240000,400,16,6,0,99,72
2_433_0.mat,2_0_0433,240000,400,16,1,0,99,73
2_434_0.mat,2_0_0434,240000,400,16,2,0,97,73
2_435_0.mat,2_0_0435,240000,400,16,3,0,100,73
2_436_0.mat,2_0_0436,240000,400,16,4,0,98,73
2_437_0.mat,2_0_0437,240000,400,16,5,0,99,73
2_438_0.mat,2_0_0438,240000,400,16,6,0,98,73
2_439_0.mat,2_0_0439,240000,400,16,1,0,100,74
2_440_0.mat,2_0_0440,240000,400,16,2,0,98,74
2_441_0.mat,2_0_0441,240000,400,16,3,0,96,74
2_442_0.mat,2_0_0442,240000,400,16,4,0,99,74
2_443_0.mat,2_0_0443,240000,400,16,5,0,99,74
2_444_0.mat,2_0_0444,240000,400,16,6,0,100,74
2_445_0.mat,2_0_0445,240000,400,16,1,0,100,75
2_446_0.mat,2_0_0446,240000,400,16,2,0,100,75
2_447_0.mat,2_0_0447,240000,400,16,3,0,100,75
2_448_0.mat,2_0_0448,240000,400,16,4,0,99,75
2_449_0.mat,2_0_0449,240000,400,16,5,0,100,75
